timestamps,acc_x,acc_y,acc_z,aAcc,aStages,aJerk,aVelocity,avStages,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
0.0,0.1691243999999999,-0.3666977999999999,9.898878600000002,0.0,0.0,0.0,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.313
0.016000000000000014,0.1691243999999999,-0.3652263,9.8824959,0.0,0.0,0.027540010198001702,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.329
0.030999999999999694,0.1078119,-0.3248091,9.834525,0.0,0.0,0.106129027623103,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.344
0.04699999999999971,0.1078119,-0.3248091,9.834525,0.0,0.0,0.1058338401589419,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.36
0.06199999999999983,0.1078119,-0.3173535,9.8464932,0.0,0.0,0.0869087557009282,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.375
0.07799999999999985,0.1152675,-0.3173535,9.8300124,0.0,0.0,0.11323404318663839,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.391
0.09399999999999986,0.1586277,-0.3412899,9.8300124,0.0,0.0,0.1108345569776901,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.407
0.10899999999999999,0.1586277,-0.3173535,9.8689581,0.0,0.0,0.0491841222667622,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.422
0.125,0.1691243999999999,-0.3503151,9.9602892,0.0,0.0,0.08733108423064621,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.438
0.14100000000000001,0.1466595,-0.3503151,9.9887382,0.0,0.0,0.1254904047787163,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.454
0.1559999999999997,0.1616688,-0.3712104,9.9887382,0.0121149474389189,0.0,0.1363678069135118,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.469
0.1719999999999997,0.1616688,-0.3412899,10.0171872,0.016280454768041998,0.0,0.15767309074155011,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.485
0.18699999999999983,0.1542132,-0.3412899,10.0755567,0.021764157394757802,0.0,0.26290905778574,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.5
0.20299999999999985,0.145188,-0.3218661,10.0755567,0.0270952621210334,0.0,0.230522928063581,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.516
0.21899999999999986,0.145188,-0.3412899,10.0949805,0.0327853517818948,0.0,0.2529594864751903,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.532
0.23399999999999999,0.1870767,-0.3412899,10.205735400000002,0.0410528158695023,0.0,0.4484931551785154,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.547
0.25,0.173637,-0.3458024999999999,10.205735400000002,0.0491165480883549,0.0,0.4013121463496413,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.563
0.266,0.1257642,-0.3682673999999999,10.2581208,0.0582624133624137,0.0,0.46894546230002954,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.579
0.2809999999999997,0.1257642,-0.3412899,10.3584771,0.06960865978083679,0.0,0.6537453105662427,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.594
0.2969999999999997,0.1721655,-0.3412899,10.3449393,0.08036446807721019,0.0,0.5695669011946953,0.0,0.0,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.61
0.31199999999999983,,,,0.0908973867054695,,0.5995234578886305,0.0,,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.625
0.32799999999999985,,,,0.10331564172587629,,0.673469821446781,0.0,,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.641
0.34399999999999986,,,,0.1147393395923544,,0.6113099993262366,0.0,,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.657
0.359,,,,0.12590328840877882,,0.6415921370996386,0.0,,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.672
0.375,,,,0.1384710934510736,,0.6828166978147804,0.012069593028193541,,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.688
0.391,,,,0.1524490529589979,,0.770951351916626,0.014544289928529842,,0.0,down,up,up,up,0.1026711173286453,0.0092084830659828,6.526545742858644e-06,9.308722209128657e-06,3.704
